timestamp,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5
2024-07-01 13:30:00+00:00,212.51,212.51,212.51,212.51,212.51,120.0,100.0,120.0,220.0,220.0,211.93,211.93,211.93,211.93,211.93,100.0,200.0,100.0,200.0,300.0
2024-07-01 13:31:00+00:00,213.07,213.07,213.07,213.07,213.07,301.0,500.0,600.0,600.0,100.0,212.35,212.35,212.36,212.36,212.36,200.0,100.0,105.0,205.0,205.0
2024-07-01 13:32:00+00:00,213.05,213.05,213.05,213.05,213.05,100.0,100.0,34.0,300.0,400.0,212.62,212.62,212.64,212.64,212.64,49.0,49.0,100.0,100.0,100.0
2024-07-01 13:33:00+00:00,213.25,213.25,213.25,213.25,213.25,100.0,100.0,52.0,110.0,210.0,212.55,212.55,212.58,212.58,212.58,3195.0,3195.0,251.0,151.0,100.0
2024-07-01 13:34:00+00:00,213.47,213.46,213.46,213.46,213.46,20.0,20.0,20.0,20.0,20.0,213.12,213.12,213.12,213.12,213.12,1.0,1.0,1.0,1.0,1.0
2024-07-01 13:35:00+00:00,213.69,213.69,213.69,213.69,213.68,100.0,100.0,110.0,10.0,100.0,213.33,213.33,213.34,213.34,213.34,10.0,20.0,100.0,101.0,100.0
2024-07-01 13:36:00+00:00,214.02,214.02,214.02,214.02,214.02,220.0,220.0,120.0,120.0,220.0,213.65,213.65,213.65,213.65,213.65,100.0,200.0,510.0,510.0,510.0
2024-07-01 13:37:00+00:00,213.97,213.97,213.97,213.97,213.97,200.0,704.0,704.0,208.0,207.0,213.16,213.16,213.16,213.16,213.16,13.0,13.0,13.0,13.0,45.0
2024-07-01 13:38:00+00:00,213.8,213.8,213.8,213.8,213.8,110.0,110.0,210.0,210.0,200.0,213.25,213.25,213.25,213.25,213.25,200.0,300.0,200.0,110.0,100.0
2024-07-01 13:39:00+00:00,213.6,213.6,213.59,213.59,213.59,100.0,110.0,220.0,220.0,220.0,213.19,213.19,213.19,213.19,213.19,70.0,70.0,100.0,20.0,120.0
2024-07-01 13:40:00+00:00,213.32,213.32,213.32,213.32,213.32,45.0,145.0,145.0,145.0,200.0,212.95,212.95,212.95,212.95,212.95,39.0,100.0,100.0,300.0,100.0
2024-07-01 13:41:00+00:00,213.45,213.45,213.45,213.45,213.45,20.0,220.0,138.0,120.0,161.0,213.0,213.0,213.01,213.01,213.01,100.0,20.0,300.0,300.0,400.0
2024-07-01 13:42:00+00:00,213.61,213.61,213.61,213.61,213.61,200.0,215.0,300.0,400.0,6.0,213.16,213.16,213.16,213.16,213.16,109.0,100.0,500.0,504.0,100.0
2024-07-01 13:43:00+00:00,213.79,213.79,213.79,213.79,213.79,100.0,100.0,200.0,200.0,200.0,213.59,213.59,213.59,213.59,213.59,100.0,200.0,1.0,101.0,1.0
2024-07-01 13:44:00+00:00,213.73,213.73,213.73,213.72,213.72,20.0,20.0,20.0,13.0,33.0,213.38,213.38,213.38,213.38,213.38,110.0,210.0,210.0,100.0,100.0
2024-07-01 13:45:00+00:00,213.64,213.64,213.64,213.63,213.63,51.0,83.0,83.0,183.0,83.0,213.0,213.0,213.0,213.0,213.01,200.0,200.0,200.0,100.0,242.0
2024-07-01 13:46:00+00:00,213.12,213.12,213.12,213.12,213.12,20.0,100.0,100.0,220.0,100.0,212.88,212.88,212.88,212.88,212.88,3.0,300.0,203.0,203.0,203.0
2024-07-01 13:47:00+00:00,213.03,213.03,213.03,213.02,213.02,25.0,20.0,45.0,20.0,300.0,212.67,212.67,212.68,212.68,212.68,100.0,100.0,100.0,100.0,68.0
2024-07-01 13:48:00+00:00,213.04,213.04,213.04,213.04,213.04,100.0,100.0,200.0,200.0,200.0,212.64,212.64,212.64,212.65,212.65,100.0,100.0,100.0,371.0,100.0
2024-07-01 13:49:00+00:00,212.98,212.98,212.98,212.98,212.98,210.0,200.0,210.0,100.0,110.0,212.43,212.43,212.43,212.43,212.43,30.0,30.0,4.0,400.0,400.0
2024-07-01 13:50:00+00:00,212.6,212.6,212.6,212.6,212.6,16.0,116.0,116.0,100.0,210.0,212.34,212.34,212.34,212.34,212.34,100.0,100.0,100.0,100.0,100.0
2024-07-01 13:51:00+00:00,212.58,212.58,212.58,212.58,212.58,210.0,100.0,30.0,30.0,20.0,212.28,212.28,212.28,212.29,212.29,10.0,100.0,200.0,110.0,110.0
2024-07-01 13:52:00+00:00,212.75,212.75,212.75,212.75,212.75,235.0,235.0,235.0,235.0,235.0,212.38,212.38,212.38,212.38,212.38,646.0,646.0,746.0,746.0,646.0
2024-07-01 13:53:00+00:00,212.72,212.71,212.71,212.71,212.71,120.0,300.0,200.0,320.0,220.0,212.5,212.5,212.5,212.5,212.5,39.0,234.0,50.0,70.0,270.0
2024-07-01 13:54:00+00:00,212.95,212.95,212.95,212.95,212.95,100.0,43.0,43.0,20.0,38.0,212.53,212.53,212.53,212.53,212.53,110.0,10.0,110.0,110.0,100.0
2024-07-01 13:55:00+00:00,212.83,212.82,212.82,212.82,212.82,10.0,489.0,489.0,389.0,489.0,212.61,212.61,212.61,212.61,212.62,100.0,110.0,110.0,20.0,410.0
2024-07-01 13:56:00+00:00,212.91,212.91,212.91,212.91,212.91,210.0,210.0,210.0,200.0,200.0,212.73,212.73,212.73,212.74,212.74,300.0,20.0,200.0,45.0,145.0
2024-07-01 13:57:00+00:00,213.01,213.01,213.01,213.01,213.01,111.0,111.0,111.0,300.0,111.0,212.86,212.86,212.87,212.87,212.87,100.0,100.0,235.0,235.0,300.0
2024-07-01 13:58:00+00:00,213.19,213.19,213.19,213.19,213.19,500.0,200.0,84.0,15.0,400.0,212.85,212.85,212.85,212.85,212.85,10.0,70.0,60.0,50.0,70.0
2024-07-01 13:59:00+00:00,213.17,213.17,213.17,213.17,213.17,158.0,100.0,20.0,20.0,110.0,213.04,213.04,213.05,213.05,213.05,100.0,100.0,200.0,100.0,100.0
2024-07-01 14:00:00+00:00,213.39,213.39,213.39,213.39,213.39,100.0,3.0,122.0,100.0,3.0,213.16,213.16,213.16,213.16,213.16,184.0,184.0,184.0,184.0,59.0
2024-07-01 14:01:00+00:00,213.31,213.31,213.31,213.31,213.31,224.0,224.0,201.0,224.0,323.0,213.15,213.15,213.15,213.15,213.15,200.0,100.0,200.0,100.0,100.0
2024-07-01 14:02:00+00:00,213.47,213.47,213.47,213.47,213.47,110.0,100.0,100.0,100.0,200.0,213.24,213.25,213.25,213.25,213.25,100.0,410.0,101.0,310.0,101.0
2024-07-01 14:03:00+00:00,213.45,213.45,213.45,213.45,213.44,200.0,300.0,100.0,400.0,100.0,213.31,213.31,213.31,213.31,213.31,80.0,90.0,80.0,100.0,100.0
2024-07-01 14:04:00+00:00,213.48,213.48,213.48,213.48,213.48,10.0,200.0,197.0,297.0,197.0,213.18,213.18,213.18,213.18,213.18,200.0,300.0,100.0,200.0,200.0
2024-07-01 14:05:00+00:00,213.72,213.72,213.72,213.72,213.72,100.0,200.0,100.0,100.0,100.0,213.18,213.18,213.18,213.18,213.18,200.0,100.0,300.0,99.0,200.0
2024-07-01 14:06:00+00:00,213.75,213.75,213.75,213.75,213.75,9.0,21.0,34.0,46.0,55.0,213.36,213.36,213.36,213.36,213.37,100.0,100.0,200.0,100.0,10.0
2024-07-01 14:07:00+00:00,213.77,213.77,213.77,213.77,213.77,100.0,110.0,100.0,100.0,100.0,213.31,213.31,213.31,213.31,213.31,10.0,110.0,110.0,10.0,110.0
2024-07-01 14:08:00+00:00,213.87,213.87,213.86,213.86,213.86,100.0,100.0,120.0,25.0,120.0,213.58,213.58,213.58,213.58,213.58,10.0,20.0,120.0,120.0,120.0
2024-07-01 14:09:00+00:00,213.6,213.6,213.6,213.59,213.59,100.0,100.0,110.0,114.0,111.0,213.3,213.3,213.3,213.3,213.3,100.0,310.0,210.0,200.0,200.0
2024-07-01 14:10:00+00:00,213.81,213.81,213.81,213.81,213.8,128.0,128.0,64.0,64.0,148.0,213.5,213.5,213.5,213.5,213.5,10.0,110.0,10.0,20.0,120.0
2024-07-01 14:11:00+00:00,213.49,213.49,213.49,213.49,213.49,200.0,200.0,200.0,200.0,200.0,213.19,213.19,213.19,213.19,213.2,33.0,23.0,110.0,100.0,19.0
2024-07-01 14:12:00+00:00,213.19,213.19,213.19,213.19,213.18,100.0,210.0,110.0,210.0,30.0,212.84,212.84,212.85,212.85,212.85,100.0,100.0,10.0,10.0,110.0
2024-07-01 14:13:00+00:00,213.17,213.17,213.17,213.17,213.17,110.0,110.0,100.0,210.0,10.0,212.89,212.89,212.89,212.89,212.89,300.0,102.0,102.0,110.0,110.0
2024-07-01 14:14:00+00:00,213.07,213.07,213.07,213.06,213.06,105.0,155.0,100.0,125.0,175.0,212.85,212.85,212.85,212.85,212.85,128.0,100.0,228.0,128.0,228.0
