Ticker,Stock Name,Trade Date,Trade Time,Trade Size,Execution Time (ms),Trade Direction, Trade Price ,Exchange,Order type
CAT,Caterpillar Inc.,1/9/2024,10:12:16,745,120,SELL,$170.26 ,NYSE,LMT
AAPL,Apple Inc.,12/26/2023,12:03:42,523,397,BUY,$174.87 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/19/2024,9:34:14,676,632,BUY,$230.25 ,NYSE,LMT
AAPL,Apple Inc.,1/10/2024,13:01:42,131,498,BUY,$154.16 ,NASDAQ,MKT
AAPL,Apple Inc.,1/19/2024,15:34:18,630,224,SELL,$188.00 ,NASDAQ,MKT
AAPL,Apple Inc.,1/11/2024,15:49:55,224,274,BUY,$137.64 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/12/2024,15:25:05,645,575,BUY,$163.26 ,NYSE,MKT
CAT,Caterpillar Inc.,1/17/2024,14:44:10,810,658,SELL,$191.49 ,NYSE,MKT
CAT,Caterpillar Inc.,12/28/2023,12:23:44,225,876,SELL,$213.32 ,NYSE,MKT
AAPL,Apple Inc.,1/15/2024,11:17:39,164,861,SELL,$154.67 ,NASDAQ,MKT
AAPL,Apple Inc.,1/15/2024,11:27:09,614,874,SELL,$175.31 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/27/2023,11:02:31,753,562,BUY,$171.36 ,NYSE,LMT
JPM,JP Morgan Chase & Co.,1/12/2024,10:54:06,133,868,SELL,$138.41 ,NYSE,LMT
CAT,Caterpillar Inc.,1/16/2024,15:05:52,252,574,BUY,$202.96 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/1/2024,12:07:21,457,900,SELL,$149.99 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/14/2023,13:59:29,835,851,SELL,$120.02 ,NYSE,MKT
AAPL,Apple Inc.,1/8/2024,15:27:01,943,339,SELL,$178.89 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/22/2023,15:32:48,612,407,SELL,$179.67 ,NYSE,MKT
AAPL,Apple Inc.,12/15/2023,15:28:16,355,418,SELL,$181.64 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/25/2023,11:35:20,432,458,BUY,$230.28 ,NYSE,MKT
CAT,Caterpillar Inc.,1/19/2024,14:41:14,557,248,BUY,$198.85 ,NYSE,MKT
CAT,Caterpillar Inc.,12/13/2023,14:54:37,272,512,BUY,$222.21 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/15/2023,13:20:11,69,332,SELL,$150.28 ,NYSE,MKT
CAT,Caterpillar Inc.,1/9/2024,12:24:52,791,685,SELL,$219.67 ,NYSE,MKT
AAPL,Apple Inc.,1/16/2024,10:42:28,551,381,BUY,$175.44 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/26/2023,9:27:35,28,287,SELL,$138.55 ,NYSE,MKT
CAT,Caterpillar Inc.,12/28/2023,15:46:55,441,841,SELL,$150.46 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/16/2024,9:23:46,967,239,BUY,$158.45 ,NYSE,MKT
AAPL,Apple Inc.,1/10/2024,9:45:21,308,729,SELL,$199.38 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/1/2024,15:32:28,168,475,BUY,$190.25 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/2/2024,11:00:34,364,511,BUY,$133.47 ,NYSE,MKT
CAT,Caterpillar Inc.,1/9/2024,14:41:32,979,1000,SELL,$200.63 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/12/2023,9:59:56,546,103,SELL,$141.66 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/18/2023,13:42:15,339,701,SELL,$101.32 ,NYSE,MKT
AAPL,Apple Inc.,12/18/2023,10:37:05,488,971,BUY,$130.84 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/28/2023,14:59:58,131,986,SELL,$184.40 ,NYSE,MKT
